시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
울산광역시,중구,울산 동헌 및 내아,무료,측정,내국인,"111,225",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"46,460","2,210","2,249","3,130","6,190","6,347","8,640","3,422","3,458","4,320","5,514",198,782,"42,413","3,454","1,589","2,231","5,726","7,800","3,399","2,423","3,296","3,470","5,777","1,663","1,585","22,352","2,928","2,997","5,990","2,791","3,435","4,211",-,-,-,
울산광역시,중구,울산 동헌 및 내아,무료,측정,합계,"111,225",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"46,460","2,210","2,249","3,130","6,190","6,347","8,640","3,422","3,458","4,320","5,514",198,782,"42,413","3,454","1,589","2,231","5,726","7,800","3,399","2,423","3,296","3,470","5,777","1,663","1,585","22,352","2,928","2,997","5,990","2,791","3,435","4,211",-,-,-,
울산광역시,중구,태화강 십리대숲,무료,측정,내국인,"653,774",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"183,989","13,185","12,569","11,581","13,652","33,828","19,541","13,793","14,689","14,291","16,924","11,854","8,082","116,856","8,693","3,454","14,911","17,055","15,309","14,198","8,100","9,564","10,989","7,138","4,140","3,305","352,929","44,765","66,412","60,417","57,878","66,241","57,216",-,-,-,
울산광역시,중구,태화강 십리대숲,무료,측정,합계,"653,774",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"183,989","13,185","12,569","11,581","13,652","33,828","19,541","13,793","14,689","14,291","16,924","11,854","8,082","116,856","8,693","3,454","14,911","17,055","15,309","14,198","8,100","9,564","10,989","7,138","4,140","3,305","352,929","44,765","66,412","60,417","57,878","66,241","57,216",-,-,-,
울산광역시,중구,태화강대공원,무료,측정,내국인,"2,333,660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,062,769","36,474","42,030","42,159","87,807","222,383","87,247","71,009","111,835","122,201","128,354","84,494","26,776","905,378","24,538","9,177","62,405","146,814","142,711","79,110","46,768","75,011","119,943","111,593","59,573","27,735","365,513","49,834","82,979","78,258","56,905","54,467","43,070",-,-,-,
울산광역시,중구,태화강대공원,무료,측정,합계,"2,333,660",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,062,769","36,474","42,030","42,159","87,807","222,383","87,247","71,009","111,835","122,201","128,354","84,494","26,776","905,378","24,538","9,177","62,405","146,814","142,711","79,110","46,768","75,011","119,943","111,593","59,573","27,735","365,513","49,834","82,979","78,258","56,905","54,467","43,070",-,-,-,
울산광역시,중구,태화루,무료,측정,내국인,"218,782",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"92,140","5,568","5,427","5,319","13,890","10,772","9,150","4,096","7,881","4,127","13,359","8,336","4,215","76,432","3,090","1,410","7,043","11,401","11,633","8,783","4,776","6,153","8,418","7,808","3,415","2,502","50,210","5,914","7,732","7,624","8,127","6,931","13,882",-,-,-,
울산광역시,중구,태화루,무료,측정,합계,"218,782",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"92,140","5,568","5,427","5,319","13,890","10,772","9,150","4,096","7,881","4,127","13,359","8,336","4,215","76,432","3,090","1,410","7,043","11,401","11,633","8,783","4,776","6,153","8,418","7,808","3,415","2,502","50,210","5,914","7,732","7,624","8,127","6,931","13,882",-,-,-,
울산광역시,중구,학성공원,무료,추정,내국인,"487,020","154,851","7,110","6,855","11,030","15,162","17,554","13,301","14,393","13,994","15,031","17,324","11,967","11,130","166,218","13,120","9,594","12,311","14,241","18,287","14,903","14,460","14,080","15,250","17,170","11,751","11,051","165,951","13,101","8,895","13,335","14,310","18,535","14,900","14,400","13,060","15,350","16,135","11,830","12,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
울산광역시,중구,학성공원,무료,추정,합계,"487,020","154,851","7,110","6,855","11,030","15,162","17,554","13,301","14,393","13,994","15,031","17,324","11,967","11,130","166,218","13,120","9,594","12,311","14,241","18,287","14,903","14,460","14,080","15,250","17,170","11,751","11,051","165,951","13,101","8,895","13,335","14,310","18,535","14,900","14,400","13,060","15,350","16,135","11,830","12,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
