시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
제주특별자치도,제주시,민속자연사박물관,유료,측정,외국인,"2,127,011","123,903","5,803","9,584","10,418","10,418","13,186","9,676","10,971","14,355","12,969","12,298","8,432","5,793","113,781","4,062","2,772","6,234","4,742","7,398","7,493","14,146","16,467","11,605","13,888","8,841","16,133","171,320","8,136","5,871","6,728","13,706","13,665","17,808","22,144","25,383","20,546","17,949","8,536","10,848","263,264","15,736","10,923","10,392","23,805","22,398","25,909","40,254","34,639","30,451","21,063","15,410","12,284","374,213","13,848","15,994","20,725","30,608","31,793","41,555","42,990","45,341","42,504","37,443","26,177","25,235","380,933","26,161","25,831","34,264","30,608","31,793","41,555","11,221","25,159","41,549","46,917","36,054","29,821","531,025","36,313","39,938","58,611","48,605","56,506","59,470","44,230","55,505","39,425","37,188","24,949","30,285","88,877","31,332","23,879","12,207","2,753","2,101","2,570","2,874","2,829","2,229","2,994","1,836","1,273","41,727","1,082","1,578","2,350","3,832","2,287","3,869","3,248","3,826","4,606","5,118","4,637","5,294","37,968","3,919","5,333","6,476","7,940","7,269","7,031",-,-,-,
제주특별자치도,제주시,민속자연사박물관,유료,측정,합계,"7,275,732","992,792","47,483","42,703","104,944","153,864","155,003","88,973","55,805","73,898","71,038","85,110","64,705","49,266","1,056,183","52,381","43,224","107,955","157,681","177,412","84,444","46,594","65,387","66,403","88,335","65,897","100,470","893,955","33,740","38,021","67,662","112,508","95,473","61,982","47,137","88,271","105,667","100,961","76,604","65,929","845,965","54,931","29,673","33,021","104,202","101,164","62,537","59,754","60,421","64,734","100,255","89,621","85,652","796,707","38,396","36,885","64,427","90,489","52,009","58,972","60,949","74,378","70,607","91,453","87,127","71,015","757,315","49,459","46,388","67,820","90,489","52,009","58,972","30,764","55,281","80,558","89,413","70,099","66,063","876,174","61,526","61,313","87,531","98,051","102,295","87,417","62,615","77,954","66,812","78,227","46,563","45,870","405,679","52,034","42,395","42,042","49,733","36,110","27,037","21,161","26,805","28,695","35,655","22,779","21,233","450,599","24,492","18,722","28,893","47,995","41,465","26,735","22,053","31,270","38,004","69,930","41,524","59,516","200,363","19,670","31,737","27,535","38,119","54,266","29,036",-,-,-,
제주특별자치도,제주시,비자림,유료,측정,내국인,"5,377,428","170,209","6,129","5,974","10,917","15,688","18,960","14,927","18,208","23,435","15,445","18,701","14,684","7,141","207,369","5,191","8,000","10,442","19,986","24,426","16,650","22,740","27,291","17,996","21,725","19,442","13,480","325,466","13,084","11,515","15,548","26,991","48,465","33,650","35,644","39,421","22,401","39,675","24,709","14,363","453,110","16,544","15,272","21,024","42,566","54,026","41,271","43,400","56,252","44,704","50,917","41,399","25,735","544,914","30,262","29,038","35,073","48,074","53,109","49,316","52,667","63,977","56,753","57,143","43,246","26,256","717,089","38,412","31,526","43,271","58,448","76,823","56,113","69,400","89,279","72,515","79,509","57,889","43,904","805,658","43,328","46,952","54,813","78,543","89,744","73,435","75,068","81,659","71,191","82,630","64,359","43,936","894,318","43,960","44,063","61,894","103,394","108,812","103,319","94,667","96,292","90,263","20,896","78,604","48,154","863,646","46,111","34,714","66,676","93,619","100,159","93,794","78,679","84,488","75,228","85,105","63,546","41,527","395,649","45,317","48,193","65,419","72,999","85,427","78,294",-,-,-,
제주특별자치도,제주시,비자림,유료,측정,외국인,"31,328",496,9,6,4,8,66,12,47,116,54,127,31,16,978,5,85,72,85,76,41,105,193,96,163,30,27,"2,039",18,25,114,218,208,140,132,148,281,466,141,148,"8,731",61,74,372,410,749,"1,505",752,992,"1,175","1,562",640,439,"6,695",921,663,698,671,541,386,822,691,418,417,309,158,"2,386",86,149,170,143,335,196,138,206,196,408,241,118,"2,345",127,92,110,77,224,354,305,183,230,335,172,136,"2,237",45,21,31,413,145,283,298,214,271,234,140,142,"3,865",166,154,206,405,334,238,430,319,338,712,336,227,"1,556",83,123,142,307,405,496,-,-,-,
제주특별자치도,제주시,비자림,유료,측정,합계,"5,408,756","170,705","6,138","5,980","10,921","15,696","19,026","14,939","18,255","23,551","15,499","18,828","14,715","7,157","208,347","5,196","8,085","10,514","20,071","24,502","16,691","22,845","27,484","18,092","21,888","19,472","13,507","327,505","13,102","11,540","15,662","27,209","48,673","33,790","35,776","39,569","22,682","40,141","24,850","14,511","461,841","16,605","15,346","21,396","42,976","54,775","42,776","44,152","57,244","45,879","52,479","42,039","26,174","551,609","31,183","29,701","35,771","48,745","53,650","49,702","53,489","64,668","57,171","57,560","43,555","26,414","719,475","38,498","31,675","43,441","58,591","77,158","56,309","69,538","89,485","72,711","79,917","58,130","44,022","808,003","43,455","47,044","54,923","78,620","89,968","73,789","75,373","81,842","71,421","82,965","64,531","44,072","896,555","44,005","44,084","61,925","103,807","108,957","103,602","94,965","96,506","90,534","21,130","78,744","48,296","867,511","46,277","34,868","66,882","94,024","100,493","94,032","79,109","84,807","75,566","85,817","63,882","41,754","397,205","45,400","48,316","65,561","73,306","85,832","78,790",-,-,-,
제주특별자치도,제주시,산굼부리,유료,측정,내국인,"1,767,603","697,145","28,433","26,613","42,745","81,641","89,735","48,296","35,842","47,949","50,030","124,285","90,276","31,300","601,781","18,648","26,620","40,983","72,650","65,866","43,009","29,168","38,963","46,975","113,874","73,986","31,039","468,677","18,180","27,000","31,388","49,284","62,464","28,242","20,667","26,645","37,893","108,316","37,840","20,758",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,산굼부리,유료,측정,외국인,"75,353","33,834","1,446","2,566","2,314","2,655","2,629","2,926","3,848","4,546","1,324","3,899","3,227","2,454","29,028",972,"1,291","1,363","1,809","1,728","1,797","1,993","2,546","3,916","4,982","3,914","2,717","12,491",970,"1,200","1,360",914,936,811,954,"1,040","1,228","1,713",870,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,산굼부리,유료,측정,합계,"1,842,956","730,979","29,879","29,179","45,059","84,296","92,364","51,222","39,690","52,495","51,354","128,184","93,503","33,754","630,809","19,620","27,911","42,346","74,459","67,594","44,806","31,161","41,509","50,891","118,856","77,900","33,756","481,168","19,150","28,200","32,748","50,198","63,400","29,053","21,621","27,685","39,121","110,029","38,710","21,253",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,삼성혈,유료,측정,내국인,"222,761","79,363","6,019","4,378","5,896","8,288","9,020","7,737","6,412","8,451","6,858","6,787","5,564","3,953","75,488","5,673","4,466","4,740","8,628","8,562","7,015","6,033","8,786","4,830","6,645","6,073","4,037","67,910","5,191","4,132","4,459","7,377","9,221","5,822","5,169","6,801","4,293","6,359","5,377","3,709",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
제주특별자치도,제주시,삼성혈,유료,측정,외국인,"201,651","73,084","3,928","5,459","6,791","6,337","7,581","6,641","5,550","4,761","6,527","6,730","7,880","4,899","66,236","3,758","3,850","4,096","4,851","5,739","5,097","5,687","4,501","7,417","8,106","7,803","5,331","62,331","4,496","5,204","6,286","7,012","8,035","6,757","5,500","3,747","4,467","4,727","4,199","1,901",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
