시도,군구,관광지,구분,세부구분,내/외국인,총계(2010.01 ~ 2019.09),2010년,,,,,,,,,,,,,2011년,,,,,,,,,,,,,2012년,,,,,,,,,,,,,2013년,,,,,,,,,,,,,2014년,,,,,,,,,,,,,2015년,,,,,,,,,,,,,2016년,,,,,,,,,,,,,2017년,,,,,,,,,,,,,2018년,,,,,,,,,,,,,2019년,,,,,,,,,,
,,,,,,,인원계,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,인원계,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,인원계,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,인원계,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,인원계,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,인원계,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,인원계,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,인원계,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,인원계,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,인원계,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,
인천광역시,중구,영종역사관,유료,측정,내국인,"46,074",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,376",-,-,-,-,-,-,"1,547","1,946","1,781","2,041","2,458","2,603","33,698","3,357","2,650","5,017","5,062","5,107","4,354","2,221","3,134","2,796",
인천광역시,중구,영종역사관,유료,측정,합계,"46,074",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,376",-,-,-,-,-,-,"1,547","1,946","1,781","2,041","2,458","2,603","33,698","3,357","2,650","5,017","5,062","5,107","4,354","2,221","3,134","2,796",
인천광역시,중구,월미도 유람선,유료,측정,내국인,"2,735,287",-,-,-,-,-,-,-,-,-,-,-,-,-,"123,038","2,201","2,125","11,659","27,104","20,776","10,948","6,162","5,483","3,660","13,352","11,184","8,384","64,285","1,724","2,122","9,589","21,463","13,047","9,640",-,-,-,-,"3,341","3,359","469,420","4,983","5,795","17,348","47,254","69,503","60,633","37,372","80,175","53,565","49,622","22,280","20,890","397,227","19,992","19,034","39,544","36,697","29,079","35,567","32,204","57,863","47,187","41,533","25,612","12,915","375,934","14,494","16,972","26,473","41,721","59,312","20,625","27,454","55,878","36,185","35,906","21,232","19,682","398,592","15,642","13,425","31,719","48,889","52,391","43,424","38,385","44,405","37,018","34,648","20,182","18,464","310,173","14,690","14,391","32,889","27,119","22,153","16,112","30,037","38,970","32,111","50,335","17,458","13,908","297,413","10,601","12,559","24,951","46,473","20,870","18,030","25,086","34,590","35,784","31,520","22,015","14,934","299,205","13,446","18,958","29,553","44,151","50,798","38,024","27,680","43,794","32,801",
인천광역시,중구,월미도 유람선,유료,측정,외국인,"113,433",-,-,-,-,-,-,-,-,-,-,-,-,-,800,96,62,134,107,69,52,82,56,39,69,23,11,"1,050",11,20,52,89,76,42,-,-,-,-,397,363,"7,948",101,118,106,"1,049","1,278",936,762,"1,482",817,528,397,374,"6,944",341,202,898,851,328,376,476,862,"1,352",683,423,152,"8,142",131,115,360,609,"1,164",746,664,"1,730",875,894,585,269,"30,693",87,109,232,"3,738","4,061","2,834","2,855","4,817","4,595","4,275","1,804","1,286","25,643",106,187,"1,257","2,168","1,117","1,658","1,758","7,640","2,419","6,398",827,108,"19,025",428,384,497,"1,862","2,376","1,254","1,103","2,021","4,138","1,930","2,351",681,"13,188",354,876,"1,011","1,023","1,842","1,468","1,887","2,545","2,182",
인천광역시,중구,월미도 유람선,유료,측정,합계,"2,848,720",-,-,-,-,-,-,-,-,-,-,-,-,-,"123,838","2,297","2,187","11,793","27,211","20,845","11,000","6,244","5,539","3,699","13,421","11,207","8,395","65,335","1,735","2,142","9,641","21,552","13,123","9,682",-,-,-,-,"3,738","3,722","477,368","5,084","5,913","17,454","48,303","70,781","61,569","38,134","81,657","54,382","50,150","22,677","21,264","404,171","20,333","19,236","40,442","37,548","29,407","35,943","32,680","58,725","48,539","42,216","26,035","13,067","384,076","14,625","17,087","26,833","42,330","60,476","21,371","28,118","57,608","37,060","36,800","21,817","19,951","429,285","15,729","13,534","31,951","52,627","56,452","46,258","41,240","49,222","41,613","38,923","21,986","19,750","335,816","14,796","14,578","34,146","29,287","23,270","17,770","31,795","46,610","34,530","56,733","18,285","14,016","316,438","11,029","12,943","25,448","48,335","23,246","19,284","26,189","36,611","39,922","33,450","24,366","15,615","312,393","13,800","19,834","30,564","45,174","52,640","39,492","29,567","46,339","34,983",
인천광역시,중구,인천개항장 근대건축전시관,유료,측정,내국인,"448,517",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,902","1,009",945,"1,833","1,121","2,738","2,078","1,796","3,416","1,329","2,392","2,317",928,"82,981","4,955","5,181","5,363","4,882","7,036","6,596","7,018","10,107","8,802","12,768","6,735","3,538","92,775","6,152","4,209","3,682","8,463","19,907","3,047","5,192","9,215","5,489","15,457","7,245","4,717","71,970","5,643","3,919","3,448","8,116","10,693","4,849","4,886","5,554","4,478","12,046","5,212","3,126","75,424","3,327","3,571","3,383","8,074","17,151","6,493","4,616","5,371","6,183","6,771","5,551","4,933","62,709","3,752","3,330","4,470","6,686","7,972","4,194","2,708","3,531","8,958","8,656","4,535","3,917","40,756","3,138","3,264","4,391","5,605","4,356","6,652","3,481","3,995","5,874",
인천광역시,중구,인천개항장 근대건축전시관,유료,측정,외국인,"7,141",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,275,972,26,64,90,146,61,154,65,59,56,95,49,107,"1,001",43,62,61,253,143,65,37,54,62,108,87,26,"2,551",16,94,313,206,97,547,672,72,404,59,50,21,"1,052",12,35,230,152,21,16,9,148,55,280,39,55,"1,290",0,0,104,100,60,289,43,599,95,
인천광역시,중구,인천개항장 근대건축전시관,유료,측정,합계,"455,658",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"21,902","1,009",945,"1,833","1,121","2,738","2,078","1,796","3,416","1,329","2,392","2,317",928,"83,256","4,955","5,181","5,363","4,882","7,036","6,596","7,018","10,107","8,802","12,768","6,735","3,813","93,747","6,178","4,273","3,772","8,609","19,968","3,201","5,257","9,274","5,545","15,552","7,294","4,824","72,971","5,686","3,981","3,509","8,369","10,836","4,914","4,923","5,608","4,540","12,154","5,299","3,152","77,975","3,343","3,665","3,696","8,280","17,248","7,040","5,288","5,443","6,587","6,830","5,601","4,954","63,761","3,764","3,365","4,700","6,838","7,993","4,210","2,717","3,679","9,013","8,936","4,574","3,972","42,046","3,138","3,264","4,495","5,705","4,416","6,941","3,524","4,594","5,969",
인천광역시,중구,인천근대박물관,유료,측정,내국인,"3,882",-,-,-,-,-,-,-,-,-,-,-,-,-,"2,414",195,231,208,170,135,170,275,245,310,175,160,140,"1,468",275,190,198,265,295,245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
인천광역시,중구,인천근대박물관,유료,측정,외국인,254,-,-,-,-,-,-,-,-,-,-,-,-,-,161,20,17,15,10,15,12,15,10,17,12,8,10,93,20,8,15,15,20,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
